EbN0dB ANY ListError ListError_rate ListError_ci_wilson ListError_ci_wilson_rel MLError MLError_rate MLError_ci_wilson MLError_ci_wilson_rel PMError PMError_rate PMError_ci_wilson PMError_ci_wilson_rel
1.0 19200 14270 0.7432291666666667 0.0061788790908279285 0.008313558412326295 4429 0.23067708333333334 0.005958491556034385 0.025830444316066875 15354 0.7996875 0.005661096353615658 0.007079135729413874
1.25 19200 12181 0.6344270833333333 0.006811507864565107 0.010736470815175278 3288 0.17125 0.005328710806130575 0.03111655945185737 13488 0.7025 0.006466022120443603 0.0092043019508094
1.5 19200 10057 0.5238020833333333 0.007063817473708242 0.013485661280222556 2174 0.11322916666666667 0.0044824099811476515 0.039587061471037216 11558 0.6019791666666666 0.006923210432403861 0.011500747560317888
1.75 19200 7961 0.41463541666666665 0.006968025588594088 0.016805186697777478 1465 0.07630208333333334 0.003755828981843266 0.04922315116135884 9447 0.49203125 0.007070935340963788 0.014370907012438313
2.0 19200 5851 0.30473958333333334 0.006510405169772032 0.021363831697081354 1012 0.052708333333333336 0.0031616770267366965 0.05998438627800847 7376 0.38416666666666666 0.006879484764569859 0.017907552532502886
2.25 19200 4120 0.21458333333333332 0.005806722329408056 0.027060453573940456 644 0.033541666666666664 0.0025482220579579307 0.07597183775278303 5476 0.28520833333333334 0.006386202562525454 0.022391360336100934
2.5 19200 2787 0.14515625 0.00498272970118187 0.03432666317283528 394 0.020520833333333332 0.0020074900297384858 0.09782692530705311 3885 0.20234375 0.0056824894910694704 0.028083345747370356
2.75 19200 1670 0.08697916666666666 0.003986605561487613 0.04583402801231268 208 0.010833333333333334 0.0014673902134436426 0.1354514043178747 2589 0.13484375 0.004831414993743328 0.03582972880643951
3.0 19200 1052 0.05479166666666667 0.003219950735647363 0.05876716171523704 114 0.0059375 0.001091087976471585 0.1837621855110038 1699 0.08848958333333333 0.004017723876709662 0.045403353992245744
3.25 38400 1180 0.030729166666666665 0.001726741154195388 0.05619225450940924 143 0.0037239583333333335 0.0006112208803469945 0.16413204059667544 2121 0.055234375 0.0022851663823916317 0.04137217778587395
3.5 57600 967 0.016788194444444446 0.0010496889853911227 0.06252542456931609 92 0.0015972222222222223 0.00032780086481574267 0.20523184579768236 1966 0.034131944444444444 0.0014830817140909693 0.04345142763562555
3.75 96000 873 0.00909375 0.0006008026101445761 0.06606764097809772 86 0.0008958333333333333 0.00019029867280155618 0.21242642545289991 1906 0.019854166666666666 0.0008826445850702724 0.04445639043375979
4.0 153600 629 0.004095052083333333 0.0003196104166128676 0.0780479491124586 44 0.00028645833333333333 8.554767161251079e-5 0.2986391445382195 1676 0.010911458333333334 0.0005196780274878503 0.047626816838981983
4.25 268800 536 0.0019940476190476192 0.00016879480304351108 0.08464933406361151 39 0.00014508928571428572 4.6089793564070154e-5 0.31766503871851426 1577 0.005866815476190476 0.00028879636041805523 0.049225403728835285
4.5 518400 462 0.0008912037037037037 8.131423406981171e-5 0.0912409068004121 29 5.594135802469136e-5 2.069426019952595e-5 0.36992774094600867 1596 0.0030787037037037037 0.00015085710657574065 0.04900020303813531
4.75 940800 396 0.0004209183673469388 4.149916727872933e-5 0.0985919610500721 23 2.4447278911564625e-5 1.0197622365896304e-5 0.4171270922537062 1538 0.0016347789115646258 8.166118079118269e-5 0.049952431006726056
5.0 1843200 364 0.0001974826388888889 2.0312473056036967e-5 0.10285700642002016 12 6.510416666666667e-6 3.8281645587601846e-6 0.5880060762255643 1539 0.0008349609375 4.17115385198692e-5 0.049956275373504166
5.25 3859200 287 7.436774461028192e-5 8.618042698928204e-6 0.1158841476784102 7 1.8138474295190712e-6 1.432931573397807e-6 0.7899956468652596 1540 0.0003990464344941957 1.9932761802318132e-5 0.049950983342536455
5.5 8563200 253 2.9545029895366218e-5 3.6475092243509116e-6 0.12345593276664714 3 3.5033632286995514e-7 4.555009188715079e-7 1.3001818228268323 1539 0.00017972253363228698 8.981224662253877e-6 0.04997272451449799
