EbN0dB ANY ListError ListError_rate ListError_ci_wilson ListError_ci_wilson_rel MLError MLError_rate MLError_ci_wilson MLError_ci_wilson_rel PMError PMError_rate PMError_ci_wilson PMError_ci_wilson_rel
1.0 19200 7324 0.38145833333333334 0.006870251480996933 0.01801048995564461 9755 0.5080729166666667 0.007070911708485904 0.013917119918291067 10525 0.5481770833333334 0.007038935508363453 0.012840623445185587
1.25 19200 5031 0.26203125 0.006219711846775902 0.02373652702407023 7462 0.38864583333333336 0.006894261099638807 0.017739186962351258 8100 0.421875 0.00698499132359301 0.016557016470738987
1.5 19200 3104 0.16166666666666665 0.0052073564722974605 0.03221045240596367 5450 0.2838541666666667 0.006377058021510568 0.022465965873945486 5815 0.3028645833333333 0.0064990941381091695 0.021458745907428384
1.75 19200 1675 0.08723958333333333 0.003991996248825753 0.045759001777584754 3721 0.19380208333333335 0.0055909825291872665 0.028848928933188796 3951 0.20578125 0.005718182191372311 0.027787673519197257
2.0 19200 836 0.043541666666666666 0.002887784507229972 0.06632232361102328 2395 0.12473958333333333 0.004674001234776985 0.037470072529318624 2522 0.13135416666666666 0.004778119892955787 0.036375853269132084
2.25 19200 361 0.018802083333333334 0.001923480709198323 0.10230146708201607 1417 0.07380208333333334 0.0036988236552121263 0.05011814691607115 1493 0.07776041666666667 0.003788533643939197 0.04872059341167621
2.5 38400 301 0.007838541666666667 0.000883391121678325 0.11269840223404545 1732 0.04510416666666667 0.0020761532348969863 0.04603018719402094 1795 0.04674479166666667 0.0021117381576832837 0.04517590264904629
2.75 76800 239 0.0031119791666666665 0.00039470153773167794 0.1268329627522714 1854 0.024140625 0.0010857675302014282 0.04497677795009153 1889 0.024596354166666667 0.0010957070353081785 0.04454753854508634
3.0 134400 131 0.000974702380952381 0.00016743875481474218 0.17178449348932326 1674 0.012455357142857143 0.000593098192065864 0.047617919362994095 1675 0.01246279761904762 0.0005932729791205478 0.04760351545898604
3.25 249600 69 0.0002764423076923077 6.567071358650622e-5 0.23755666827814426 1581 0.006334134615384616 0.00031133190999770694 0.049151451445558283 1649 0.006606570512820513 0.0003179091653487192 0.048120150194687884
3.5 537600 39 7.254464285714286e-5 2.3045877365022495e-5 0.31767855567784853 1528 0.0028422619047619047 0.00014235546598215397 0.05008527389529187 1550 0.002883184523809524 0.00014337303262593968 0.049727317638519467
3.75 1248000 17 1.3621794871794872e-5 6.655724726896565e-6 0.4886084975980537 1592 0.0012756410256410256 6.264200176802683e-5 0.04910629284327732 1549 0.0012411858974358974 6.17918119091615e-5 0.049784494036561364
4.0 2880000 11 3.819444444444444e-6 2.353613213979133e-6 0.616218732387264 1499 0.0005204861111111111 2.635056440988794e-5 0.05062683489024501 1537 0.0005336805555555556 2.6682083265818522e-5 0.04999635641220387
4.25 7065600 1 1.4153079710144927e-7 3.8839990865279696e-7 2.7442783945772025 1497 0.00021187160326086957 1.0735220554292657e-5 0.05066851993881776 1540 0.00021795742753623188 1.0888178259875048e-5 0.049955527475956586
4.5 18931200 2 1.0564570655848547e-7 1.78136543783809e-7 1.6861692688400223 1526 8.06076741041244e-5 4.045518889002505e-6 0.050187763559295044 1538 8.124154834347533e-5 4.061382853161801e-6 0.04999145063054401
