EbN0dB ANY MLInListError MLInListError_rate MLInListError_ci_wilson MLInListError_ci_wilson_rel
1.0 19200 13556 0.7060416666666667 0.006443605638163327 0.009126381547118314
1.25 19200 11532 0.600625 0.006927172262617738 0.011533273278031615
1.5 19200 9452 0.4922916666666667 0.0070709930790718535 0.014363422251182775
1.75 19200 7126 0.37114583333333334 0.006833014935626013 0.018410593146789146
2.0 19200 5162 0.26885416666666667 0.006270962600058339 0.023324773715831092
2.25 19200 3472 0.18083333333333335 0.005443989306163533 0.0301050099880011
2.5 19200 2224 0.11583333333333333 0.004526978660600725 0.0390818301634595
2.75 38400 2716 0.07072916666666666 0.0025644843390363412 0.0362578050879954
3.0 38400 1516 0.03947916666666667 0.0019481732170780533 0.04934686776767628
3.25 76800 1605 0.0208984375 0.0010119456497665947 0.04842207221313052
3.5 153600 1527 0.00994140625 0.0004962972431076471 0.04992223742065134
3.75 307200 1603 0.005218098958333334 0.0002548536568616437 0.04884032650523827
4.0 672000 1549 0.002305059523809524 0.00011469482223474233 0.04975785703146988
4.25 1574400 1556 0.0009883130081300812 4.9098037234491366e-5 0.04967863099099178
4.5 3360000 1542 0.00045892857142857145 2.290836380970123e-5 0.049917057328531855
4.75 7680000 1539 0.000200390625 1.0013961541398783e-5 0.0499722057426528
5.0 18374400 1538 8.370341344479276e-5 4.184449887113578e-6 0.049991388820402945
