EbN0dB ANY MLInListError MLInListError_rate MLInListError_ci_wilson MLInListError_ci_wilson_rel
1.0 19200 14421 0.75109375 0.006115636129770375 0.008142307308202704
1.25 19200 12347 0.6430729166666667 0.0067761927174468575 0.010537207432978025
1.5 19200 10253 0.5340104166666667 0.007055457568835853 0.013212209628562212
1.75 19200 8157 0.42484375 0.006991503130964873 0.01645664583971136
2.0 19200 6056 0.3154166666666667 0.006572405457274956 0.02083721677339484
2.25 19200 4218 0.2196875 0.00585624016788044 0.026657138744263738
2.5 19200 2864 0.14916666666666667 0.005039207915447196 0.03378239943316556
2.75 19200 1760 0.09166666666666666 0.004082040678822223 0.044531352859878796
3.0 38400 2107 0.05486979166666667 0.002278054927161374 0.041517469958707524
3.25 57600 1865 0.032378472222222225 0.0014458137015166902 0.04465354917284791
3.5 96000 1661 0.017302083333333333 0.0008250685299348831 0.04768607999623647
3.75 192000 1662 0.00865625 0.0004144769070620127 0.04788180875806644
4.0 345600 1544 0.0044675925925925924 0.00022241521490142625 0.04978413100384256
4.25 748800 1558 0.0020806623931623933 0.00010324131972999801 0.049619448147511236
4.5 1689600 1542 0.0009126420454545455 4.554601956489834e-5 0.04990567746877577
4.75 3494400 1538 0.00044013278388278386 2.199891008569326e-5 0.04998243914398344
5.0 8294400 1539 0.000185546875 9.272255743578892e-6 0.049972578323288344
5.25 20697600 1539 7.435644712430426e-5 3.7159908926231355e-6 0.04997536913525446
