EbN0dB ANY ListError ListError_rate ListError_ci_wilson ListError_ci_wilson_rel MLError MLError_rate MLError_ci_wilson MLError_ci_wilson_rel PMError PMError_rate PMError_ci_wilson PMError_ci_wilson_rel
1.0 192000 116671 0.6076614583333333 0.002184050399701873 0.003594189445044267 3643 0.018973958333333332 0.0006103435403282094 0.03216743336344118 128344 0.6684583333333334 0.0021057552769306294 0.0031501668420080473
1.25 192000 103642 0.5398020833333333 0.0022294140938594774 0.004130058335626673 2267 0.011807291666666667 0.00048326551757296943 0.04092941304543896 115341 0.600734375 0.002190652534867262 0.003646624241982593
1.5 192000 90269 0.47015104166666666 0.0022325226391651794 0.004748522158434396 1418 0.007385416666666667 0.00038310931375365275 0.051873757574542545 101783 0.5301197916666667 0.002232449860873346 0.004211217720912947
1.75 192000 77322 0.40271875 0.0021937728080341687 0.0054474066778221 868 0.004520833333333333 0.0003002363858992635 0.06641173512979101 88207 0.45941145833333336 0.0022291303793439965 0.00485214362617533
2.0 192000 63788 0.3322291666666667 0.002106853145950417 0.006341565874811563 435 0.002265625 0.00021290125833192325 0.09397021057409027 73507 0.3828489583333333 0.0021742567786043536 0.005679150305304745
2.25 192000 51652 0.2690208333333333 0.0019835709878657233 0.00737329880101872 260 0.0013541666666666667 0.00016479358008485766 0.12169372067804873 60092 0.31297916666666664 0.0020741706633301982 0.006627184439848867
2.5 192000 39930 0.20796875 0.001815405141462155 0.008729220815445372 141 0.000734375 0.00012158256852936579 0.1655592422527534 47099 0.24530729166666668 0.001924610897044076 0.00784571418145741
2.75 192000 30110 0.15682291666666667 0.0016265564584941662 0.010371930920985716 86 0.00044791666666666667 9.517233105638943e-5 0.2124777623584508 36016 0.18758333333333332 0.001746185716848577 0.009308853221760517
3.0 192000 21660 0.1128125 0.0014151221826688705 0.0125440193477573 43 0.00022395833333333333 6.767517637051896e-5 0.3021775317009219 26153 0.13621354166666666 0.001534331980361117 0.011264166261206535
3.25 192000 14990 0.07807291666666667 0.0012000804101603899 0.015371276767898255 25 0.00013020833333333333 5.2008534104029315e-5 0.39942554191894514 18322 0.09542708333333333 0.00131421665218455 0.013771946142311626
3.5 192000 9903 0.051578125 0.0009893558523562276 0.01918169480484658 13 6.770833333333333e-5 3.814006181826799e-5 0.5632993745467273 12263 0.06386979166666666 0.0010937821034472368 0.01712518664779169
3.75 192000 6239 0.03249479166666667 0.0007931673860704391 0.02440906204929064 4 2.0833333333333333e-5 2.2735308656526876e-5 1.09129481551329 7785 0.040546875 0.0008822979320218383 0.021759948997841096
4.0 192000 3697 0.019255208333333333 0.0006147611208721286 0.03192700438394609 0 0.0 1.0003966503970199e-5 Inf 4647 0.024203125 0.0006874770223195465 0.028404473485120065
4.25 192000 2224 0.011583333333333333 0.00047871653070223505 0.041328045816020294 0 0.0 1.0003966503970199e-5 Inf 2857 0.014880208333333334 0.0005416514138480106 0.03640079505033883
4.5 192000 1154 0.0060104166666666665 0.0003458770200499201 0.05754626330119988 1 5.208333333333333e-6 1.429281996330617e-5 2.7442214329547845 1536 0.008 0.0003985973642387442 0.049824670529843025
4.75 576000 1733 0.0030086805555555557 0.0001414804167284803 0.04702407388090285 0 0.0 3.334699981625956e-6 Inf 2274 0.003947916666666666 0.00016197910669991025 0.0410290085572332
5.0 960000 1362 0.00141875 7.53210976500924e-5 0.05308976045821491 0 0.0 2.0008253266973175e-6 Inf 1843 0.0019197916666666667 8.75874403807958e-5 0.045623408988368946
5.25 1728000 1085 0.0006278935185185185 3.736647193580622e-5 0.05951084194015958 0 0.0 1.1115716028857235e-6 Inf 1557 0.0009010416666666666 4.47500936840139e-5 0.04966484385740271
5.5 4416000 1054 0.00023867753623188406 1.441427888944457e-5 0.06039227284230286 0 0.0 4.3496338972931203e-7 Inf 1597 0.0003616394927536232 1.7739081912150173e-5 0.049051838274298785
5.75 10560000 965 9.138257575757576e-5 5.76835302995106e-6 0.06312311709459398 0 0.0 1.818938732231531e-7 Inf 1563 0.00014801136363636365 7.339606024248749e-6 0.04958812515423339
6.0 28032000 894 3.1892123287671236e-5 2.091688067945939e-6 0.06558635337881494 0 0.0 6.852168010727431e-8 Inf 1541 5.497288812785388e-5 2.745532616896315e-6 0.04994339410567002
