EbN0dB ANY ListError ListError_rate ListError_ci_wilson ListError_ci_wilson_rel MLError MLError_rate MLError_ci_wilson MLError_ci_wilson_rel PMError PMError_rate PMError_ci_wilson PMError_ci_wilson_rel
1.0 192000 20145 0.104921875 0.001370792836980259 0.01306489077687812 17303 0.09011979166666667 0.0012808911128026185 0.014213205435941902 33066 0.17221875 0.001688894010455835 0.009806679066337637
1.25 192000 13962 0.07271875 0.0011615604513598482 0.015973328080582355 11446 0.05961458333333333 0.0010591204194440144 0.01776612969886867 23603 0.12293229166666667 0.0014687787853382786 0.011947867931404885
1.5 192000 9220 0.04802083333333333 0.0009564209810653602 0.019916792664267803 7392 0.0385 0.0008606590048339032 0.02235477934633515 16225 0.08450520833333333 0.0012441721749676885 0.014723023580511323
1.75 192000 5754 0.02996875 0.0007627132749792901 0.02545028654779696 4526 0.023572916666666666 0.0006786885488785592 0.028791029912656512 10385 0.05408854166666666 0.0010118027973462032 0.018706416667353974
2.0 192000 3361 0.017505208333333334 0.0005866899970975221 0.0335151679389242 2597 0.013526041666666667 0.0005167807523193278 0.03820635519650017 6348 0.0330625 0.0007998301798510535 0.02419146101628895
2.25 192000 1839 0.009578125 0.0004357742853526428 0.045496825876948026 1418 0.007385416666666667 0.00038310931375365275 0.051873757574542545 3696 0.01925 0.000614679625745309 0.03193140912962644
2.5 192000 1007 0.005244791666666667 0.00032324148259657066 0.06163094802238487 698 0.0036354166666666666 0.0002693907431727794 0.07410175170368717 2047 0.010661458333333334 0.00045949468483007846 0.04309867097575724
2.75 384000 956 0.0024895833333333332 0.00015769820472615102 0.0633432119402113 723 0.0018828125 0.00013720477261429487 0.07287224437605704 2015 0.005247395833333333 0.00022857018972936697 0.0435587855365146
3.0 768000 897 0.00116796875 7.643068879496747e-5 0.06543898438632667 644 0.0008385416666666667 6.478542498060271e-5 0.07725963724394858 1963 0.0025559895833333333 0.00011295451048696156 0.04419208561079291
3.25 1536000 696 0.000453125 3.367980276078915e-5 0.07432784057553468 587 0.0003821614583333333 3.0935343467949145e-5 0.08094836042039164 1673 0.0010891927083333333 5.2179492543315456e-5 0.04790657534162136
3.5 3456000 622 0.00017997685185185185 1.4153799863691042e-5 0.07864233493394894 495 0.00014322916666666667 1.2629155532929647e-5 0.0881744677208179 1542 0.00044618055555555557 2.2272163016208157e-5 0.0499173770324354
