EbN0dB ANY MLInListError MLInListError_rate MLInListError_ci_wilson MLInListError_ci_wilson_rel
1.0 19200 11542 0.6011458333333334 0.006925655017038306 0.011520756916230763
1.25 19200 10345 0.5388020833333333 0.00705051074119564 0.013085529843495048
1.5 19200 9047 0.47119791666666666 0.007060092936334674 0.01498328555074895
1.75 19200 7620 0.396875 0.006919814945487507 0.017435754193354348
2.0 19200 6430 0.33489583333333334 0.006675242327317284 0.019932294352176028
2.25 19200 5077 0.2644270833333333 0.0062379263038472845 0.023590345683251503
2.5 19200 4007 0.20869791666666668 0.005747970686502091 0.027542060689004277
2.75 19200 3052 0.15895833333333334 0.005171901060843366 0.03253620588735014
3.0 19200 2274 0.1184375 0.004570816079184636 0.03859264235723176
3.25 19200 1532 0.07979166666666666 0.00383343674376974 0.04804307146238839
3.5 38400 1997 0.05200520833333333 0.002221178910961468 0.04271070114217345
3.75 57600 1947 0.03380208333333334 0.0014761533606283037 0.04367048462875721
4.0 76800 1516 0.019739583333333335 0.000984087581506797 0.04985351336393272
4.25 134400 1544 0.011488095238095238 0.0005698959702085553 0.049607524867894964
4.5 268800 1591 0.00591889880952381 0.00029006706400094704 0.049006930737557866
4.75 499200 1570 0.0031450320512820514 0.0001553735823246909 0.049402861335341205
5.0 1094400 1543 0.001409904970760234 7.032186155393145e-5 0.04987702221945728
5.25 2438400 1540 0.0006315616797900262 3.1543441667589464e-5 0.04994514815730529
5.5 6105600 1541 0.00025239124737945495 1.2604025722534554e-5 0.04993844221382671
5.75 16512000 1538 9.314437984496124e-5 4.656394830749601e-6 0.04999115178500482
