EbN0dB ANY MLInListError MLInListError_rate MLInListError_ci_wilson MLInListError_ci_wilson_rel
1.0 19200 6718 0.34989583333333335 0.006745702386493013 0.019279173239158356
1.25 19200 5612 0.29229166666666667 0.006432894735988454 0.022008478070381025
1.5 19200 4405 0.22942708333333334 0.005947154398888736 0.0259217626466887
1.75 19200 3328 0.17333333333333334 0.005354274332382417 0.030890044225283173
2.0 19200 2558 0.13322916666666668 0.0048068924992134 0.03607988115124991
2.25 19200 1753 0.09130208333333334 0.004074736792485308 0.04462917650639926
2.5 38400 2463 0.064140625 0.002450808409842311 0.038209924051134686
2.75 38400 1600 0.041666666666666664 0.001999105238622362 0.04797852572693669
3.0 76800 1984 0.025833333333333333 0.001122195364129922 0.04343982054696473
3.25 96000 1517 0.015802083333333335 0.0007891164688324946 0.04993749572044791
3.5 172800 1563 0.009045138888888889 0.0004465228703876412 0.04936606014266436
3.75 326400 1553 0.00475796568627451 0.0002361488202311742 0.04963230838599823
4.0 633600 1547 0.0024416035353535355 0.00012155915898954557 0.0497866083618462
4.25 1344000 1548 0.0011517857142857143 5.7362176672199023e-5 0.04980282005648287
4.5 3014400 1538 0.0005102176220806794 2.55010232817211e-5 0.04998067918102737
4.75 6988800 1539 0.00022020947802197803 1.1004243796611742e-5 0.049971708281845446
